ISO,Country,safePresc,PrimCare,SecCare,CancerCare,YsafePresc,YPrimCare,YSecCare,YCancerCare
OECD,OECD,18.5,225,6.9,84.5,2017,2017,2017,2017
AUS,Australia,23.5,403,3.8,89.5,2017,2017,2017,2017
AUT,Austria,12.1,248,6.2,84.8,2017,2017,2017,2017
BEL,Belgium,15.9,291,6.8,86.4,2017,2017,2017,2017
CAN,Canada,14.8,253,4.8,88.6,2017,2017,2017,2017
CHL,Chile,,98,8.2,75.5,2017,2017,2017,2017
CZE,Czech Republic,19.6,174,6.2,81.4,2017,2017,2017,2017
DNK,Denmark,13.9,325,3.2,86.1,2017,2017,2017,2017
EST,Estonia,10.1,122,9.6,76.6,2017,2017,2017,2017
FIN,Finland,12.6,182,8.0,88.5,2017,2017,2017,2017
FRA,France,23.0,150,5.6,86.7,2017,2017,2017,2017
DEU,Germany,12.3,289,8.5,86.0,2017,2017,2017,2017
GRC,Greece,32.1,,,,2017,2017,2017,2017
HUN,Hungary,13.4,428,,,2017,2017,2017,2017
ISL,Iceland,24.6,201,2.3,89.1,2017,2017,2017,2017
IRL,Ireland,24.6,329,5.4,82.0,2017,2017,2017,2017
ISR,Israel,20.5,214,5.5,88.0,2017,2017,2017,2017
ITA,Italy,28.3,64,5.4,86.0,2017,2017,2017,2017
JPN,Japan,,58,9.7,89.4,2017,2017,2017,2017
KOR,Korea,26.5,263,9.6,86.6,2017,2017,2017,2017
LVA,Latvia,12.1,242,13.4,76.9,2017,2017,2017,2017
LTU,Lithuania,13.6,263,8.6,73.5,2017,2017,2017,2017
LUX,Luxembourg,25.3,203,8.5,,2017,2017,2017,2017
MEX,Mexico,,85,27.5,,2017,2017,2017,2017
NLD,Netherlands,14.3,236,3.5,86.6,2017,2017,2017,2017
NZL,New Zealand,25.8,363,4.7,87.6,2017,2017,2017,2017
NOR,Norway,14.6,244,3.5,87.2,2017,2017,2017,2017
POL,Poland,23.8,236,4.1,76.5,2017,2017,2017,2017
PRT,Portugal,16.4,90,7.3,87.6,2017,2017,2017,2017
SVK,Slovak Republic,23.6,209,5.9,75.5,2017,2017,2017,2017
SVN,Slovenia,19.0,128,4.1,83.5,2017,2017,2017,2017
ESP,Spain,12.6,210,6.5,85.3,2017,2017,2017,2017
SWE,Sweden,10.2,169,3.9,88.8,2017,2017,2017,2017
CHE,Switzerland,,138,,86.2,2017,2017,2017,2017
TUR,Turkey,16.6,425,6.8,82.1,2017,2017,2017,2017
GBR,United Kingdom,17.5,281,7.0,85.6,2017,2017,2017,2017
USA,United States,,268,5.0,90.2,2017,2017,2017,2017