ISO,Country,LifeExp,AvMort,ChronicDisMor,SelfRated,YlifeExp,YAvMort,YchronicDisMor,YselfRated
OECD,OECD,80.7,208,6.4,8.7,2017,2017,2017,2017
AUS,Australia,82.6,145,5.1,3.7,2017,2017,2017,2017
AUT,Austria,81.7,175,6.4,8.1,2017,2017,2017,2017
BEL,Belgium,81.6,172,4.3,8.6,2017,2017,2017,2017
CAN,Canada,82.0,176,7.4,3.2,2017,2017,2017,2017
CHL,Chile,80.2,206,8.5,6.6,2017,2017,2017,2017
CZE,Czech Republic,79.1,245,6.8,10.7,2017,2017,2017,2017
DNK,Denmark,81.2,184,6.4,7.5,2017,2017,2017,2017
EST,Estonia,78.2,297,4.0,14.6,2017,2017,2017,2017
FIN,Finland,81.7,184,5.8,5.7,2017,2017,2017,2017
FRA,France,82.6,154,4.8,8.3,2017,2017,2017,2017
DEU,Germany,81.1,186,8.3,8.4,2017,2017,2017,2017
GRC,Greece,81.4,187,4.6,10.4,2017,2017,2017,2017
HUN,Hungary,75.9,388,7.6,11.9,2017,2017,2017,2017
ISL,Iceland,82.7,140,5.3,6.4,2017,2017,2017,2017
IRL,Ireland,82.2,172,3.3,3.4,2017,2017,2017,2017
ISR,Israel,82.6,134,6.7,10.9,2017,2017,2017,2017
ITA,Italy,83.0,143,4.8,5.8,2017,2017,2017,2017
JPN,Japan,84.2,138,5.7,14.1,2017,2017,2017,2017
KOR,Korea,82.7,159,6.8,17.0,2017,2017,2017,2017
LVA,Latvia,74.8,426,4.9,15.5,2017,2017,2017,2017
LTU,Lithuania,75.6,385,3.7,16.4,2017,2017,2017,2017
LUX,Luxembourg,82.2,152,4.4,9.3,2017,2017,2017,2017
MEX,Mexico,75.4,367,13.1,,2017,2017,2017,2017
NLD,Netherlands,81.8,153,5.3,4.6,2017,2017,2017,2017
NZL,New Zealand,81.9,178,8.1,2.3,2017,2017,2017,2017
NOR,Norway,82.7,145,5.3,7.2,2017,2017,2017,2017
POL,Poland,77.9,268,5.9,13.6,2017,2017,2017,2017
PRT,Portugal,81.5,180,9.9,15.3,2017,2017,2017,2017
SVK,Slovak Republic,77.3,323,7.3,11.3,2017,2017,2017,2017
SVN,Slovenia,81.1,210,7.3,9.7,2017,2017,2017,2017
ESP,Spain,83.4,146,7.2,6.6,2017,2017,2017,2017
SWE,Sweden,82.5,144,4.8,5.7,2017,2017,2017,2017
CHE,Switzerland,83.6,125,5.6,4.1,2017,2017,2017,2017
TUR,Turkey,78.1,257,12.1,9.4,2017,2017,2017,2017
GBR,United Kingdom,81.3,189,4.3,7.1,2017,2017,2017,2017
USA,United States,78.6,262,10.8,2.6,2017,2017,2017,2017